Title,Link,Classifications,IMDb Rating,Budget,Gross US & Canada,Opening Weekend US & Canada,Opening Weekend Date,Gross Worldwide,Runtime,Color,Sound mix,Aspect ratio,
The Shawshank Redemption,https://www.imdb.com/title/tt0111161/?ref_=chttp_t_1,R,9.3,25000000,28767189,727327,9/25/1994,29330423,2 hours 22 minutes,,Dolby Digital,1.85 : 1,
The Godfather,https://www.imdb.com/title/tt0068646/?ref_=chttp_t_2,R,9.2,6000000,136381073,302393,3/19/1972,250342030,2 hours 55 minutes,Color,Mono,1.85 : 1,
The Dark Knight,https://www.imdb.com/title/tt0468569/?ref_=chttp_t_3,PG-13,9.0,185000000,534987076,158411483,7/20/2008,1008524647,2 hours 32 minutes,Color,Dolby Digital,2.39 : 1,
The Godfather Part II,https://www.imdb.com/title/tt0071562/?ref_=chttp_t_4,R,9.0,13000000,47834595,171417,11/10/2019,47962897,3 hours 22 minutes,Color,Dolby Digital,1.85 : 1,
12 Angry Men,https://www.imdb.com/title/tt0050083/?ref_=chttp_t_5,Approved,9.0,350000,,,,2667,1 hours 36 minutes,Black and White,Mono,1.85 : 1,
Schindler's List,https://www.imdb.com/title/tt0108052/?ref_=chttp_t_6,R,9.0,22000000,96898818,656636,12/19/1993,322161245,3 hours 15 minutes,Black and White,DTS,1.85 : 1,
The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/?ref_=chttp_t_7,PG-13,9.0,94000000,381722353,72629713,12/21/2003,1151301082,3 hours 21 minutes,Color,DTS-ES,2.39 : 1,
Pulp Fiction,https://www.imdb.com/title/tt0110912/?ref_=chttp_t_8,R,8.9,8000000,107928762,9311882,10/16/1994,213928762,2 hours 34 minutes,Color,Dolby Digital,2.39 : 1,
The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/?ref_=chttp_t_9,PG-13,8.9,93000000,319205075,47211490,12/23/2001,887266300,2 hours 58 minutes,Color,DTS,2.39 : 1,
The Good the Bad and the Ugly,https://www.imdb.com/title/tt0060196/?ref_=chttp_t_10,R,8.8,1200000,25100000,,,25259657,2 hours 58 minutes,Color,Mono,2.35 : 1
